"content","original_id","from","date_created","sentiment","original_sentiment"
"#indonesia #diskon Kompas Gramedia Promo Membercard - Diskon Hingga 50%","661381864972795904","GilaPromoDotCom","2015-11-03 10:18:19","",""
"#diskon Elevenia Special Offers - Diskon Rp. 100.000","661366772990373888","GilaPromoDotCom","2015-11-03 09:18:20","",""
"#diskon Electronic City Spooktacular LED Surprise - Cashback Hingga Rp. 20.000.000","661366723451449345","GilaPromoDotCom","2015-11-03 09:18:09","",""
"#diskon Domino Pizza Best Deal - Promo Beli 1 Gratis 1","661366723443097601","GilaPromoDotCom","2015-11-03 09:18:09","",""
"#onlineonly #diskon Domino Pizza Best Deal - Promo Beli 1 Gratis 1","661344764550324225","GilaPromoDotCom","2015-11-03 07:50:53","",""
"#onlineonly #diskon Elevenia Special Offers - Diskon Rp. 100.000","661344764541968384","GilaPromoDotCom","2015-11-03 07:50:53","",""
"#indonesia #diskon Do It Best Pong Special Christmas Promo - Diskon Hingga 70%","661337801397530624","GilaPromoDotCom","2015-11-03 07:23:13","",""
"#indonesia #diskon Baso Malang Karapitan Promo Makan Hemat- Diskon Rp. 200.000","661337801129111552","GilaPromoDotCom","2015-11-03 07:23:13","",""
"#indonesia #diskon Erafone Xiaomi Great Deal - Harga Spesial Rp. 2.949.000","661337769676029952","GilaPromoDotCom","2015-11-03 07:23:06","",""
"#indonesia #diskon Electronic City Spooktacular LED Surprise - Cashback Hingga Rp. 20.000.000","661337769671860224","GilaPromoDotCom","2015-11-03 07:23:06","",""
"#diskon Pizza Hut Special Promo - Diskon 40%","661333244147814400","GilaPromoDotCom","2015-11-03 07:05:07","",""
"#diskon Blibli Microsoft Special Deal - Diskon Rp. 400.000","661333244089147393","GilaPromoDotCom","2015-11-03 07:05:07","",""
"#diskon Blibli Promo Spesial November Deals - Diskon Hingga 70%","661333243791319040","GilaPromoDotCom","2015-11-03 07:05:06","",""
"#diskon Sunny Side Up Promo Kids Menu Egglover - Harga Mulai Dari Rp. 25.000","661333243678097408","GilaPromoDotCom","2015-11-03 07:05:06","",""
"#diskon KFC Paket Super Mantap - Hanya Rp 16.364","661333243673841664","GilaPromoDotCom","2015-11-03 07:05:06","",""
"#diskon McDonalds Promo Menu Spesial Happy Meal - Harga Spesial Rp. 28.182 & Gratis Mainan","661155399350034432","GilaPromoDotCom","2015-11-02 19:18:25","",""
"#onlineonly #diskon Blibli Microsoft Special Deal - Diskon Rp. 400.000","661102470672883712","GilaPromoDotCom","2015-11-02 15:48:06","",""
"#onlineonly #diskon Blibli Promo Spesial November Deals - Diskon Hingga 70%","661102470328881152","GilaPromoDotCom","2015-11-02 15:48:06","",""
"#diskon KFC Promo Santap Hemat Sepanjang Tahun - Diskon Rp. 20.000","661072219167150080","GilaPromoDotCom","2015-11-02 13:47:53","",""
"#diskon LG Surprise Deal - Cashback Hingga Rp. 1.300.000","661072219150381056","GilaPromoDotCom","2015-11-02 13:47:53","",""
"#diskon Lotteria Promo Menu Hemat BIG Smile - Harga Mulai Dari Rp. 10.000","661072219108483072","GilaPromoDotCom","2015-11-02 13:47:53","",""
